Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
High resolution irradiance spectrum from 300 to 1000 nm.
Thuillier et al (2004) calibration
Kurucz.harvard.edu/sun/irradiance2005/irradthuwn.br_5nm
0.5 nm FWHM Gaussian broadening
300 by 0.25 to 1000 nm
 
    nm    W/m**2/nm
  498.750  1.9108
  499.000  2.0064
  499.250  2.0042
  499.500  2.0059
  499.750  2.0205
  500.000  1.9752
  500.250  1.9081
  500.500  1.8672
  500.750  1.8479
  501.000  1.9129
  501.250  1.8995
  501.500  1.8233
  501.750  1.8230
  502.000  1.8466
  502.250  1.8887
  502.500  1.9182
  502.750  1.9218
  503.000  1.9413
  503.250  2.0056
  503.500  2.0037
  503.750  1.9196
  504.000  1.8367
  504.250  1.7914
  504.500  1.9183
  504.750  2.0014
  505.000  1.9306
  505.250  1.9057
  505.500  1.9736
  505.750  2.0279
  506.000  2.0471
  506.250  2.0521
  506.500  1.9891
  506.750  1.9289
  507.000  1.9435
  507.250  1.9485
  507.500  1.9326
  507.750  1.9262
  508.000  1.8532
  508.250  1.8183
  508.500  1.8870
  508.750  1.9572
  509.000  1.9801
  509.250  1.9975
  509.500  2.0050
  509.750  1.9203
  510.000  1.8382
  510.250  1.9000
  510.500  1.9458
  510.750  1.9056
  511.000  1.8769
  511.250  1.9196
  511.500  1.9771
  511.750  1.9995
  512.000  2.0030
  512.250  1.9433
  512.500  1.8633
  512.750  1.8386
  513.000  1.8570
  513.250  1.8805
  513.500  1.8984
  513.750  1.8735
  514.000  1.8057
  514.250  1.7976
  514.500  1.8303
  514.750  1.8509
  515.000  1.8576
  515.250  1.8685
  515.500  1.8728
  515.750  1.9075
  516.000  1.9360
  516.250  1.8958
  516.500  1.7729
  516.750  1.5673
  517.000  1.4854
  517.250  1.4824
  517.500  1.5618
  517.750  1.8246
  518.000  1.8996
  518.250  1.7046
  518.500  1.4948
  518.750  1.6581
  519.000  1.8247
  519.250  1.8021
  519.500  1.7860
  519.750  1.8338
  520.000  1.8972
  520.250  1.9240
  520.500  1.8580
  520.750  1.7919
  521.000  1.8098
  521.250  1.9046
  521.500  1.9214
  521.750  1.8608
  522.000  1.9042
  522.250  1.9564
  522.500  1.8788
  522.750  1.7429
  523.000  1.7710
  523.250  1.8384
  523.500  1.8289
  523.750  1.8940
  524.000  1.9672
  524.250  1.9711
  524.500  1.9610
  524.750  1.9488
  525.000  1.9096
  525.250  1.8971
  525.500  1.9060
  525.750  1.9389
  526.000  1.9681
  526.250  1.8601
  526.500  1.6968
  526.750  1.6342
  527.000  1.6231
  527.250  1.6759
  527.500  1.7758
  527.750  1.8512
  528.000  1.9146
  528.250  1.8695
  528.500  1.8479
  528.750  1.9383
  529.000  2.0093
  529.250  2.0136
  529.500  1.9755
  529.750  1.8869
  530.000  1.8397
  530.250  1.8864
  530.500  1.9469
  530.750  1.9814
  531.000  1.9946
  531.250  2.0087
  531.500  1.9818
  531.750  1.9383
  532.000  1.9416
  532.250  1.9244
  532.500  1.8419
  532.750  1.7546
  533.000  1.7214
  533.250  1.8361
  533.500  1.9256
  533.750  1.9388
  534.000  1.8816
  534.250  1.8511
  534.500  1.8940
  534.750  1.8998
  535.000  1.8850
  535.250  1.9166
  535.500  1.9650
  535.750  2.0016
  536.000  2.0042
  536.250  1.9579
  536.500  1.8898
  536.750  1.8466
  537.000  1.8014
  537.250  1.7754
  537.500  1.8735
  537.750  1.9464
  538.000  1.9344
  538.250  1.9039
  538.500  1.8974
  538.750  1.9282
  539.000  1.9118
  539.250  1.8628
  539.500  1.8407
  539.750  1.8229
  540.000  1.8226
  540.250  1.8418
  540.500  1.7813
  540.750  1.7497
  541.000  1.7972
  541.250  1.8332
  541.500  1.8688
  541.750  1.8944
  542.000  1.9150
  542.250  1.8910
  542.500  1.8605
  542.750  1.8856
  543.000  1.8687
  543.250  1.8411
  543.500  1.8387
  543.750  1.8659
  544.000  1.9470
  544.250  1.9738
  544.500  1.9173
  544.750  1.8372
  545.000  1.8890
  545.250  1.9534
  545.500  1.9042
  545.750  1.8734
  546.000  1.9381
  546.250  1.9187
  546.500  1.8705
  546.750  1.9041
  547.000  1.9371
  547.250  1.9312
  547.500  1.8839
  547.750  1.8157
  548.000  1.8333
  548.250  1.8707
  548.500  1.9094
  548.750  1.9261
  549.000  1.9127
  549.250  1.9302
  549.500  1.9285
  549.750  1.9197
  550.000  1.9230
  550.250  1.9096
  550.500  1.8946
  550.750  1.8943
  551.000  1.9003
  551.250  1.8843
  551.500  1.8725
  551.750  1.9111
  552.000  1.9445
  552.250  1.9485
  552.500  1.9267
  552.750  1.8622
  553.000  1.8273
  553.250  1.8799
  553.500  1.8991
  553.750  1.8935
  554.000  1.9162
  554.250  1.9237
  554.500  1.9062
  554.750  1.9122
  555.000  1.9400
  555.250  1.9428
  555.500  1.9098
  555.750  1.9005
  556.000  1.9054
  556.250  1.8874
  556.500  1.8580
  556.750  1.8466
  557.000  1.8388
  557.250  1.8254
  557.500  1.8252
  557.750  1.8586
  558.000  1.8836
  558.250  1.8837
  558.500  1.8532
  558.750  1.7654
  559.000  1.7216
  559.250  1.7767
  559.500  1.8053
  559.750  1.8223
  560.000  1.8084
  560.250  1.7702
  560.500  1.8091
  560.750  1.8982
  561.000  1.9262
  561.250  1.9138
